===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MA_1_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,MACD_Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Bolling_2_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
110,,37,2020-10-29 00:00:00,14495.0,14585.0,14350.0,14435.0,591558.0,,MA_1_0,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,MACD_Strategy,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,Bolling_2_0,36,737726.0,Broker,36,148200.0,148200.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
111,,37,2020-10-29 00:00:00,14495.0,14585.0,14350.0,14435.0,591558.0,,MA_1_0,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,MACD_Strategy,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,Bolling_2_0,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
112,,38,2020-10-30 00:00:00,14395.0,14630.0,14220.0,14505.0,734630.0,,MA_1_0,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,MACD_Strategy,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,,Bolling_2_0,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
113,,38,2020-10-30 00:00:00,14395.0,14630.0,14220.0,14505.0,734630.0,,MA_1_0,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,MACD_Strategy,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,Bolling_2_0,37,737727.0,Broker,37,148200.0,148200.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
114,,38,2020-10-30 00:00:00,14395.0,14630.0,14220.0,14505.0,734630.0,,MA_1_0,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,MACD_Strategy,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,Bolling_2_0,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
115,,39,2020-11-02 00:00:00,14500.0,14575.0,14325.0,14375.0,432654.0,,MA_1_0,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,MACD_Strategy,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,,Bolling_2_0,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
116,,39,2020-11-02 00:00:00,14500.0,14575.0,14325.0,14375.0,432654.0,,MA_1_0,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,MACD_Strategy,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,Bolling_2_0,38,737728.0,Broker,38,148200.0,148200.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
117,,39,2020-11-02 00:00:00,14500.0,14575.0,14325.0,14375.0,432654.0,,MA_1_0,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,MACD_Strategy,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,Bolling_2_0,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
118,,40,2020-11-03 00:00:00,14385.0,14475.0,14275.0,14310.0,353242.0,,MA_1_0,40,737732.0,Broker,40,148200.0,148200.0,BuySell,40,,,Trades - Net Profit/Loss,40,,,MACD_Strategy,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,,Bolling_2_0,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
119,,40,2020-11-03 00:00:00,14385.0,14475.0,14275.0,14310.0,353242.0,,MA_1_0,40,737732.0,Broker,40,148200.0,148200.0,BuySell,40,,,Trades - Net Profit/Loss,40,,,MACD_Strategy,40,737732.0,Broker,40,148200.0,148200.0,BuySell,40,,,Trades - Net Profit/Loss,40,,,Bolling_2_0,39,737731.0,Broker,39,148200.0,148200.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
